high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
5366,144,71,99,411,5071,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,74e08a18aa55851e6975132c67a09e21441f8d8a
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,765abc9d5acb167d2828fedcec1741370ef7c4f5
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,7975b47c850d3647a98f6005a4b7697e7e397dd3
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,7ba7ad6b3e3dae479916e033716f3134bb1b65e8
5353,142,72,98,411,5058,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,81bf81ab1066b6dc20df6ef70d7fdc8418b3ea05
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,839016b4b1eab1bc59def7a416668ffd595999f4
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,83bb8a211adcf80550f9d42249258ff10d0dba44
5346,142,72,97,410,5053,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,8c8ec6aff089358a70c960ab73617e17a7ea5768
5372,144,71,99,411,5077,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,8e9ef31fda5f846c237373eb1c7e7db369d29b67
5368,144,71,99,411,5073,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,90f511c367432db5322545336f57310a527ecdf4
5371,144,71,99,411,5076,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,91eb3472e32a65f184b9e60f959967228d38e929
5368,143,72,99,412,5072,"[259, 327, 377, 330, 78, 79, 400, 80, 20, 22, 502, 89, 732, 605, 703]",15,ArchieveBox,930b9bf3865adeb5348183da8ebab93be61ec267
