high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_unique_cwes,repo,commit
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,e9804b9cd0ccaec1677222c5a97f8ba2eac01118
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,eb2d3ba350c6712771615ad498be21c5ee2854cf
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,ec2b18d15fc061bf660bf687719861b1b05466e5
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,ec8562f9f690de6b85a052e11a230d15fab24378
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,ed0366eed901fb78a0c52d27ca6de07229305911
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,ee1fe633e1830398016f87b045c6f00ca555c280
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,eeab47e50124e567ec46c68d363c5b8a72402cdd
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,f0155ac7050560fc0609d3256ef0ce91b843f6e1
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,f20b4803bfe94c4cfc5a6add9fe025ee3cd4d794
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,f276dad68a7ce3ef60ffaae359fb24a9fb6272d8
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,f5569d43b5c9f9ad15b7c8d9a4d2d8e37126ae8e
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,f829e825780aca815987cbf7484c49bc481d88bd
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,fb63ebaf9c3b062227e61a6f8d7478c3d7502ff3
655,23,4,22,39,621,"[259, 327, 330, 78, 400, 20, 22, 502, 377, 605, 703]",11,hosts,ffc008fca4372c8d5350e481c4c58187ebfef2cf
